index,slack,requirement,datapath_delay,logic_levels,startpoint,endpoint,path_group
76,0.754,15.000,14.289,11,core_i/core_i/id_stage_i/csr_access_ex_o_reg/C,core_i/core_i/id_stage_i/mult_operand_a_ex_o_reg[2]/D,
77,0.754,15.000,14.185,13,core_i/core_i/id_stage_i/mult_operator_ex_o_reg[2]/C,core_i/core_i/id_stage_i/alu_operand_c_ex_o_reg[24]/D,
78,0.757,15.000,14.223,13,core_i/core_i/id_stage_i/mult_operator_ex_o_reg[2]/C,core_i/core_i/id_stage_i/mult_operand_a_ex_o_reg[24]/D,
79,0.758,15.000,14.124,12,core_i/core_i/id_stage_i/mult_operator_ex_o_reg[2]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[9].mem_reg[9][25]/D,
80,0.762,15.000,14.113,13,core_i/core_i/id_stage_i/mult_operator_ex_o_reg[2]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[7].mem_reg[7][30]/D,
81,0.765,15.000,14.169,12,core_i/core_i/id_stage_i/mult_operator_ex_o_reg[2]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[27].mem_reg[27][25]/D,
82,0.767,15.000,14.160,12,core_i/core_i/id_stage_i/mult_operator_ex_o_reg[2]/C,core_i/core_i/id_stage_i/mult_operand_c_ex_o_reg[21]/D,
83,0.772,15.000,14.104,12,core_i/core_i/id_stage_i/mult_operator_ex_o_reg[2]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[12].mem_reg[12][26]/D,
84,0.774,15.000,14.147,13,core_i/core_i/id_stage_i/mult_operator_ex_o_reg[2]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[17].mem_reg[17][31]/D,
85,0.780,15.000,14.149,13,core_i/core_i/id_stage_i/mult_operator_ex_o_reg[2]/C,core_i/core_i/id_stage_i/mult_operand_a_ex_o_reg[26]/D,
86,0.781,15.000,14.093,13,core_i/core_i/id_stage_i/mult_operator_ex_o_reg[2]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[14].mem_reg[14][30]/D,
87,0.784,15.000,14.095,13,core_i/core_i/id_stage_i/mult_operator_ex_o_reg[2]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[23].mem_reg[23][30]/D,
88,0.789,15.000,14.092,13,core_i/core_i/id_stage_i/mult_operator_ex_o_reg[2]/C,core_i/core_i/id_stage_i/alu_operand_c_ex_o_reg[28]/D,
