index,slack,requirement,datapath_delay,logic_levels,startpoint,endpoint,path_group
118,0.699,14.000,13.282,13,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[20].mem_reg[20][3]/D,
119,0.700,14.000,13.233,21,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[2]/C,core_i/core_i/id_stage_i/mult_operand_c_ex_o_reg[13]/D,
120,0.702,14.000,13.280,13,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[19].mem_reg[19][8]/D,
121,0.703,14.000,13.284,13,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[31].mem_reg[31][5]/D,
122,0.703,14.000,13.208,13,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[10].mem_reg[10][23]/D,
123,0.704,14.000,13.278,13,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[11].mem_reg[11][5]/D,
124,0.710,14.000,13.197,13,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[8].mem_reg[8][25]/D,
125,0.711,14.000,13.114,13,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[20].mem_reg[20][29]/D,
126,0.712,14.000,13.206,13,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[19].mem_reg[19][22]/D,
127,0.715,14.000,13.271,13,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[15].mem_reg[15][3]/D,
128,0.718,14.000,13.267,13,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[24].mem_reg[24][3]/D,
129,0.718,14.000,13.219,14,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/alu_operand_c_ex_o_reg[6]/D,
130,0.719,14.000,13.217,14,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/mult_operand_c_ex_o_reg[6]/D,
131,0.720,14.000,13.147,13,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[13].mem_reg[13][22]/D,
132,0.722,14.000,13.264,13,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[5].mem_reg[5][5]/D,
133,0.722,14.000,13.144,13,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[9].mem_reg[9][23]/D,
134,0.724,14.000,13.260,13,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[15].mem_reg[15][19]/D,
135,0.724,14.000,13.259,13,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[13].mem_reg[13][5]/D,
136,0.725,14.000,13.216,14,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[23].mem_reg[23][24]/D,
137,0.726,14.000,13.225,13,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[10].mem_reg[10][8]/D,
138,0.728,14.000,13.259,14,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[31].mem_reg[31][24]/D,
139,0.728,14.000,13.262,14,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[25].mem_reg[25][24]/D,
140,0.728,14.000,13.212,14,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/alu_operand_a_ex_o_reg[6]/D,
